cleaned job,Employment,Mean Hourly Wage,Mean Annual Wage,Median hourly wages
"Cooks, private household",590,13.15,27350,11.17
"Cooks, restaurant",1057550,11.27,23440,10.65
"Cooks, short order",167480,10.18,21160,9.51
"Cooks, all other",21160,12.61,26230,11.58
Food preparation workers,824080,10.15,21110,9.35
Food and beverage serving workers,6678930,9.63,20020,8.91
Bartenders,555560,10.46,21770,9.09
Fast food and counter workers,3474600,9.13,18980,8.83
"Combined food preparation and serving workers, including fast food",3022880,9.08,18880,8.81
"Counter attendants, cafeteria, food concession, and coffee shop",451730,9.45,19650,8.99
Waiters and waitresses,2403960,10.04,20880,8.94
"Food servers, nonrestaurant",244820,10.77,22400,9.58
Other food preparation and serving related workers,1306660,9.46,19670,8.97
Dining room and cafeteria attendants and bartender helpers,409700,9.59,19940,8.95
Dishwashers,498110,9.22,19180,8.95
"Hosts and hostesses, restaurant, lounge, and coffee shop",360970,9.46,19670,8.96
"Food preparation and serving related workers, all other",37880,11.22,23330,9.94
Building and grounds cleaning and maintenance occupations,4291410,12.51,26010,11.04
Supervisors of building and grounds cleaning and maintenance workers,269540,19.73,41030,18.27
First-line supervisors of building and grounds cleaning and maintenance workers,269540,19.73,41030,18.27
First-line supervisors of housekeeping and janitorial workers,169920,18.45,38380,17.15
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",99620,21.91,45560,20.47
Building cleaning and pest control workers,3099520,11.75,24430,10.5
Building cleaning workers,3035070,11.66,24260,10.44
"Janitors and cleaners, except maids and housekeeping cleaners",2101810,12.09,25140,10.86
Maids and housekeeping cleaners,917470,10.64,22130,9.51
"Building cleaning workers, all other",15790,14.57,30300,13.77
Pest control workers,64450,15.61,32480,14.58
Grounds maintenance workers,922350,12.95,26930,11.73
Grounds maintenance workers,922350,12.95,26930,11.73
Landscaping and groundskeeping workers,839780,12.65,26300,11.51
"Pesticide handlers, sprayers, and applicators, vegetation",22830,15.72,32690,14.82
Tree trimmers and pruners,40720,16.57,34470,15.67
"Grounds maintenance workers, all other",19030,15.25,31720,13.52
Personal care and service occupations,3986740,11.88,24710,10.1
Supervisors of personal care and service workers,183180,19.01,39540,17.59
First-line supervisors of gaming workers,32880,21.82,45380,21.35
Gaming supervisors,25150,23.53,48940,23.2
Slot supervisors,7730,16.25,33800,15.13
First-line supervisors of personal service workers,150300,18.39,38260,16.97
Animal care and service workers,164960,11.09,23060,9.71
Animal trainers,10610,14.92,31030,12.17
Nonfarm animal caretakers,154350,10.82,22510,9.57
Entertainment attendants and related workers,534830,10.22,21270,9.08
Gaming services workers,125300,10.6,22050,9.06
Gaming dealers,98790,10.04,20890,8.88
Gaming and sports book writers and runners,12760,12.44,25870,10.82
"Gaming service workers, all other",13750,12.91,26860,11.77
Motion picture projectionists,7630,10.78,22430,9.73
"Ushers, lobby attendants, and ticket takers",106770,9.79,20370,8.98
Miscellaneous entertainment attendants and related workers,295130,10.21,21230,9.11
Amusement and recreation attendants,260680,9.76,20310,9.05
Costume attendants,5900,23.75,49400,17.62
"Locker room, coatroom, and dressing room attendants",18910,10.78,22420,9.42
"Entertainment attendants and related workers, all other",9640,12.79,26590,11.58
Funeral service workers,62080,17.44,36270,14.16
Embalmers,4390,20.55,42750,20
Funeral attendants,33400,11.62,24180,10.83
"Morticians, undertakers, and funeral directors",24280,24.87,51720,22.64
Personal appearance workers,490050,12.98,27000,10.8
"Barbers, hairdressers, hairstylists and cosmetologists",367070,13.24,27540,11.16
Barbers,15100,13.32,27710,12.03
"Hairdressers, hairstylists, and cosmetologists",351960,13.24,27530,11.12
Miscellaneous personal appearance workers,122980,12.2,25370,9.67
"Makeup artists, theatrical and performance",2440,31.89,66330,22.7
Manicurists and pedicurists,71220,10.48,21790,9.3
Shampooers,15650,9.09,18910,8.9
Skincare specialists,33680,15.86,32990,13.92
"Baggage porters, bellhops, and concierges",73980,12.61,26220,11.28
"Baggage porters, bellhops, and concierges",73980,12.61,26220,11.28
Baggage porters and bellhops,43790,11.38,23660,9.77
Concierges,30190,14.39,29930,13.37
Tour and travel guides,38780,13.1,27250,11.78
Tour and travel guides,38780,13.1,27250,11.78
Tour guides and escorts,34530,12.51,26020,11.43
Travel guides,4250,17.93,37300,16.26
Other personal care and service workers,2438890,11.35,23620,10
Childcare workers,597900,10.33,21490,9.42
Personal care aides,1135470,10.09,20990,9.67
Recreation and fitness workers,555470,14.81,30800,11.95
Fitness trainers and aerobics instructors,238170,18.17,37790,15.88
Recreation workers,317310,12.29,25560,10.76
Personal care and service occupations (Continued),,,,
Residential advisors,88220,12.78,26580,11.79
"Personal care and service workers, all other",61820,11.31,23530,10.04
Sales and related occupations,14068190,18.37,38200,12.1
Supervisors of sales workers,1459330,23.29,48430,19.17
First-line supervisors of sales workers,1459330,23.29,48430,19.17
First-line supervisors of retail sales workers,1213550,19.93,41450,17.88
First-line supervisors of non-retail sales workers,245780,39.85,82890,33.92
Retail sales workers,8500690,11.39,23690,9.58
Cashiers,3363530,9.83,20450,9.12
Cashiers,3343470,9.82,20420,9.12
Gaming change persons and booth cashiers,20060,12.05,25070,11.43
Counter and rental clerks and parts salespersons,651970,13.89,28880,12.13
Counter and rental clerks,430700,13.05,27130,11.24
Parts salespersons,221270,15.52,32290,14.15
Retail salespersons,4485180,12.2,25370,10.16
"Sales representatives, services",1653600,33.02,68680,24.62
Advertising sales agents,148770,27.62,57440,22.03
Insurance sales agents,354460,30.58,63610,23.18
"Securities, commodities, and financial services sales agents",325140,49.28,102510,34.92
Travel agents,64250,17.88,37200,16.6
"Sales representatives, services, all other",760980,29.54,61450,24.53
"Sales representatives, wholesale and manufacturing",1756600,33.11,68880,27.86
"Sales representatives, wholesale and manufacturing",1756600,33.11,68880,27.86
"Sales representatives, wholesale and manufacturing, technical and scientific products",352830,41.16,85610,35.83
"Sales representatives, wholesale and manufacturing, except technical and scientific products",1403770,31.09,64670,26.16
Other sales and related workers,697970,21.2,44090,14.05
"Models, demonstrators, and product promoters",82330,13.84,28800,11.64
Demonstrators and product promoters,76870,13.92,28950,11.75
Models,5470,12.79,26600,9.15
Real estate brokers and sales agents,197820,28.32,58900,20.49
Real estate brokers,38970,39.6,82380,28.65
Real estate sales agents,158850,25.55,53140,19.14
Sales engineers,65730,48.94,101790,45.14
Telemarketers,231900,12.42,25830,10.87
Miscellaneous sales and related workers,120180,16.29,33870,12.91
"Door-to-door sales workers, news and street vendors, and related workers",6090,12.18,25330,9.82
"Sales and related workers, all other",114100,16.5,34330,13.11
Office and administrative support occupations,21442800,16.78,34900,15.39
Supervisors of office and administrative support workers,1366510,25.81,53690,24.13
First-line supervisors of office and administrative support workers,1366510,25.81,53690,24.13
Communications equipment operators,130890,13.53,28150,12.71
"Switchboard operators, including answering service",118060,13.11,27270,12.45
Telephone operators,10280,16.69,34720,15.67
"Communications equipment operators, all other",2550,20.36,42350,19.58
Financial clerks,3274960,16.82,34990,16.01
Bill and account collectors,368850,16.66,34650,15.83
Billing and posting clerks,493840,16.8,34940,16.26
"Bookkeeping, accounting, and auditing clerks",1586380,17.91,37250,17.18
Gaming cage workers,17360,12.59,26190,11.86
Payroll and timekeeping clerks,170400,19.16,39850,18.59
Procurement clerks,68690,18.72,38940,18.64
Tellers,527680,12.62,26260,12.21
"Financial clerks, all other",41770,19.52,40590,18.39
Information and record clerks,5344530,15.54,32320,14.45
Brokerage clerks,60300,22.96,47760,21.85
Correspondence clerks,7800,17.22,35810,16.75
"Court, municipal, and license clerks",127170,17.72,36850,16.89
"Credit authorizers, checkers, and clerks",50240,17.15,35660,16.13
Customer service representatives,2389580,16.04,33370,14.84
"Eligibility interviewers, government programs",123920,20.15,41910,20.15
File clerks,152920,13.79,28680,12.89
"Hotel, motel, and resort desk clerks",234750,10.58,22010,9.81
"Interviewers, except eligibility and loan",192360,15.22,31660,14.56
"Library assistants, clerical",101990,12.43,25850,11.37
Loan interviewers and clerks,213270,17.76,36940,17.33
New accounts clerks,56990,16.32,33940,15.96
Order clerks,200210,15.33,31880,14.48
"Human resources assistants, except payroll and timekeeping",136960,18.52,38520,18.12
Receptionists and information clerks,973580,13.2,27450,12.7
Reservation and transportation ticket agents and travel clerks,141900,16.69,34710,16.34
"Information and record clerks, all other",180570,18.05,37530,17.71
"Material recording, scheduling, dispatching, and distributing workers",3798670,15.67,32600,13.84
Cargo and freight agents,73760,20.97,43620,19.35
Couriers and messengers,74060,13.35,27770,12.61
Dispatchers,282130,18.78,39050,17.61
"Police, fire, and ambulance dispatchers",96860,18.73,38960,17.81
"Dispatchers, except police, fire, and ambulance",185270,18.8,39100,17.5
"Meter readers, utilities",37950,18.79,39080,17.51
Office and administrative support occupations (Continued),,,,
Postal service workers,500980,23.9,49720,25.89
Postal service clerks,71910,22.87,47570,25.88
Postal service mail carriers,307490,24.47,50890,27.16
"Postal service mail sorters, processors, and processing machine operators",121580,23.09,48040,25.88
"Production, planning, and expediting clerks",281930,22.3,46390,21.46
"Shipping, receiving, and traffic clerks",677450,14.93,31060,14.1
Stock clerks and order fillers,1800410,11.99,24940,10.81
"Weighers, measurers, checkers, and samplers, recordkeeping",69990,14.59,30340,13.64
Secretaries and administrative assistants,3647870,18.39,38250,17.15
Secretaries and administrative assistants,3647870,18.39,38250,17.15
Executive secretaries and executive administrative assistants,755210,24.94,51870,23.7
Legal secretaries,220680,21.65,45030,20.38
Medical secretaries,512970,15.93,33140,15.33
"Secretaries and administrative assistants, except legal, medical, and executive",2159000,16.35,34000,15.79
Other office and administrative support workers,3879380,14.96,31110,14.01
Computer operators,67450,19.25,40040,18.69
Data entry and information processing workers,295850,15.28,31790,14.64
Data entry keyers,207660,14.27,29670,13.69
Word processors and typists,88200,17.68,36770,17.32
Desktop publishers,14360,19.77,41130,18.2
Insurance claims and policy processing clerks,236160,18.27,38010,17.42
"Mail clerks and mail machine operators, except postal service",99140,13.83,28760,13.2
"Office clerks, general",2832010,14.42,29990,13.49
"Office machine operators, except computer",66840,14.29,29710,13.51
Proofreaders and copy markers,11260,16.97,35300,15.93
Statistical assistants,15640,20.45,42530,19.92
"Office and administrative support workers, all other",240670,16.35,34000,15.38
"Farming, fishing, and forestry occupations",435250,11.7,24330,9.32
"Supervisors of farming, fishing, and forestry workers",18540,22.09,45940,20.9
"First-line supervisors of farming, fishing, and forestry workers",18540,22.09,45940,20.9
Agricultural workers,373350,10.61,22080,9.16
Agricultural inspectors,13740,20.96,43600,20.52
Animal breeders,1240,19.38,40310,18.24
"Graders and sorters, agricultural products",38120,10.1,21000,9.24
Miscellaneous agricultural workers,320250,10.2,21210,9.11
Agricultural equipment operators,22650,13.34,27740,12.58
"Farmworkers and laborers, crop, nursery, and greenhouse",261720,9.65,20080,9
"Farmworkers, farm, ranch, and aquacultural animals",31000,11.91,24760,10.89
"Agricultural workers, all other",4870,14.03,29170,11.73
Fishing and hunting workers,560,17.43,36250,16.75
Fishers and related fishing workers,480,17.71,36840,16.96
"Forest, conservation, and logging workers",42800,16.59,34510,15.89
Forest and conservation workers,6940,13.88,28860,12.39
Logging workers,35870,17.12,35600,16.38
Fallers,5790,19.5,40550,16.6
Logging equipment operators,24490,16.69,34700,16.39
Log graders and scalers,2780,16.39,34090,15.9
"Logging workers, all other",2810,16.67,34680,16.44
Construction and extraction occupations,5088030,21.94,45630,19.55
Supervisors of construction and extraction workers,467130,30.7,63860,29.03
First-line supervisors of construction trades and extraction workers,467130,30.7,63860,29.03
Construction trades workers,3760870,21.4,44510,19.01
Boilermakers,15950,27.85,57920,27.74
"Brickmasons, blockmasons, and stonemasons",69150,23.6,49090,21.67
Brickmasons and blockmasons,58730,24.37,50700,22.41
Stonemasons,10410,19.23,39990,17.54
Carpenters,580570,21.62,44980,19.47
"Carpet, floor, and tile installers and finishers",68950,19.81,41210,17.58
Carpet installers,24640,19.39,40330,17.19
"Floor layers, except carpet, wood, and hard tiles",10020,19.15,39840,17.27
Floor sanders and finishers,4200,17.7,36810,16.94
Tile and marble setters,30090,20.68,43010,18.06
"Cement masons, concrete finishers, and terrazzo workers",145120,19.55,40660,17.4
Cement masons and concrete finishers,141910,19.52,40610,17.37
Terrazzo workers and finishers,3220,20.69,43030,18.8
Construction laborers,824970,16.84,35020,14.64
Construction equipment operators,400280,22.31,46410,20.16
"Paving, surfacing, and tamping equipment operators",55720,20.06,41720,18.16
Pile-driver operators,3620,27.03,56220,23.91
Operating engineers and other construction equipment operators,340950,22.63,47080,20.45
"Drywall installers, ceiling tile installers, and tapers",96080,21.2,44090,18.19
Drywall and ceiling tile installers,79950,20.75,43160,17.89
Tapers,16120,23.41,48690,21.1
Electricians,542680,25.75,53560,24.28
Glaziers,44050,20.46,42560,18.08
Construction and extraction occupations (Continued),,,,
Insulation workers,51600,20.38,42380,17.53
"Insulation workers, floor, ceiling, and wall",23850,17.76,36940,15.81
"Insulation workers, mechanical",27740,22.63,47060,19.47
Painters and paperhangers,196350,18.88,39280,17
"Painters, construction and maintenance",192890,18.89,39290,17.01
Paperhangers,3460,18.47,38410,16.19
"Pipelayers, plumbers, pipefitters, and steamfitters",392460,25.19,52390,23.31
Pipelayers,41080,19.29,40120,17.44
"Plumbers, pipefitters, and steamfitters",351380,25.88,53820,24.13
Plasterers and stucco masons,20600,19.95,41490,17.64
Reinforcing iron and rebar workers,17280,26.17,54430,24.52
Roofers,99060,18.65,38790,17.08
Sheet metal workers,134110,22.81,47440,21.1
Structural iron and steel workers,57480,24.8,51590,22.36
Solar photovoltaic installers,4130,20.11,41820,19.04
"Helpers, construction trades",216320,13.65,28400,12.97
"Helpers, construction trades",216320,13.65,28400,12.97
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",24280,14.83,30860,13.59
Helpers--carpenters,37400,13.2,27450,12.54
Helpers--electricians,63660,13.91,28920,13.32
"Helpers--painters, paperhangers, plasterers, and stucco masons",11640,12.68,26370,11.97
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47160,13.69,28460,13.19
Helpers--roofers,13130,12.46,25910,11.69
"Helpers, construction trades, all other",19050,13.54,28160,12.73
Other construction and related workers,379760,21.4,44500,19.4
Construction and building inspectors,87620,27.13,56430,26.18
Elevator installers and repairers,21270,36.64,76220,37.81
Fence erectors,19960,15.87,33000,15.02
Hazardous materials removal workers,40290,20.3,42220,18.23
Highway maintenance workers,139070,17.78,36980,17.25
Rail-track laying and maintenance equipment operators,15590,22.24,46260,22.25
Septic tank servicers and sewer pipe cleaners,24030,17.63,36660,16.6
Miscellaneous construction and related workers,31920,18.51,38510,16.92
Segmental pavers,1110,16.97,35290,15.77
"Construction and related workers, all other",30810,18.57,38620,16.97
Extraction workers,263940,21.66,45050,19.84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",108790,24.79,51570,21.79
"Derrick operators, oil and gas",22400,23.48,48830,22.64
"Rotary drill operators, oil and gas",27130,29.38,61110,24.79
"Service unit operators, oil, gas, and mining",59260,23.19,48230,20.57
"Earth drillers, except oil and gas",17620,22.15,46060,20.48
"Explosives workers, ordnance handling experts, and blasters",6540,24.19,50310,23.69
Mining machine operators,21780,23.71,49320,24.24
Continuous mining machine operators,12180,23.98,49870,24.43
Mine cutting and channeling machine operators,6850,23.31,48490,23.96
"Mining machine operators, all other",2740,23.55,48990,24.1
"Rock splitters, quarry",4130,16.51,34350,15.77
"Roof bolters, mining",5880,26.25,54590,26.34
"Roustabouts, oil and gas",68230,17.39,36170,16.62
Helpers--extraction workers,23020,16.89,35120,16.3
"Extraction workers, all other",7960,19.73,41040,19.02
"Installation, maintenance, and repair occupations",5138130,21.35,44420,19.92
"Supervisors of installation, maintenance, and repair workers",428620,30.52,63490,29.43
"First-line supervisors of mechanics, installers, and repairers",428620,30.52,63490,29.43
"Electrical and electronic equipment mechanics, installers, and repairers",570200,23.5,48880,22.56
"Computer, automated teller, and office machine repairers",110850,18.42,38310,17.5
Radio and telecommunications equipment installers and repairers,223440,25.8,53670,26.05
"Radio, cellular, and tower equipment installers and repairers",14090,23.26,48380,22.24
"Telecommunications equipment installers and repairers, except line installers",209350,25.98,54030,26.32
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",235910,23.71,49320,22.89
Avionics technicians,17310,27.38,56940,26.92
"Electric motor, power tool, and related repairers",18490,19.47,40500,18.28
"Electrical and electronics installers and repairers, transportation equipment",15340,25.95,53970,25.4
"Electrical and electronics repairers, commercial and industrial equipment",67410,26.07,54230,25.67
"Electrical and electronics repairers, powerhouse, substation, and relay",23210,32.82,68270,33.52
"Electronic equipment installers and repairers, motor vehicles",11900,16.14,33570,15.02
Electronic home entertainment equipment installers and repairers,26960,17.94,37310,17.15
Security and fire alarm systems installers,55300,21.09,43870,20.19
"Vehicle and mobile equipment mechanics, installers, and repairers",1463720,19.87,41330,18.63
Aircraft mechanics and service technicians,115410,27.7,57610,26.91
Automotive technicians and repairers,755550,19.17,39880,17.78
Automotive body and related repairers,134650,20.49,42620,18.68
Automotive glass installers and repairers,15910,15.89,33050,15.54
Automotive service technicians and mechanics,604990,18.97,39450,17.65
Bus and truck mechanics and diesel engine specialists,238150,21.21,44120,20.54
Heavy vehicle and mobile equipment service technicians and mechanics,170720,21.98,45710,21.55
Farm equipment mechanics and service technicians,34840,17.5,36390,17.05
"Mobile heavy equipment mechanics, except engines",116590,23,47830,22.53
Rail car repairers,19290,23.89,49700,24.33
Small engine mechanics,62860,16.63,34590,15.86
Motorboat mechanics and service technicians,19650,17.99,37430,17.35
Motorcycle mechanics,14960,17.02,35400,16.15
Outdoor power equipment and other small engine mechanics,28250,15.47,32180,14.68
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",121020,12.82,26660,11.72
Bicycle repairers,10450,12.58,26160,12.22
Recreational vehicle service technicians,11200,17.69,36790,16.89
Tire repairers and changers,99370,12.29,25570,11.34
"Other installation, maintenance, and repair occupations",2675590,20.24,42100,18.85
Control and valve installers and repairers,57990,23.83,49570,22.36
Mechanical door repairers,17050,18.75,39000,17.63
"Control and valve installers and repairers, except mechanical door",40940,25.95,53970,25.47
"Heating, air conditioning, and refrigeration mechanics and installers",251700,22.17,46110,21.1
Home appliance repairers,32920,17.89,37220,16.9
"Industrial machinery installation, repair, and maintenance workers",436800,23.24,48340,22.44
Industrial machinery mechanics,306860,23.83,49560,23.03
"Maintenance workers, machinery",89510,20.68,43010,20
Millwrights,38680,24.58,51130,24.05
"Refractory materials repairers, except brickmasons",1750,20.87,43410,20.78
Line installers and repairers,231400,27.83,57890,28.72
Electrical power-line installers and repairers,111350,30.47,63380,30.85
Telecommunications line installers and repairers,120050,25.38,52790,25.3
Precision instrument and equipment repairers,64730,22.01,45790,20.78
Camera and photographic equipment repairers,3180,19.09,39700,17.99
Medical equipment repairers,40090,22.65,47120,21.24
Musical instrument repairers and tuners,7240,16.82,34990,15.26
Watch repairers,2840,18.25,37970,17.05
"Precision instrument and equipment repairers, all other",11390,24.81,51600,24.67
"Maintenance and repair workers, general",1249080,18.13,37710,17.14
Wind turbine service technicians,3290,25.51,53050,23.79
"Miscellaneous installation, maintenance, and repair workers",347690,16.86,35060,15.16
"Coin, vending, and amusement machine servicers and repairers",33250,15.79,32840,15.16
Commercial divers,3600,26.38,54880,23.04
"Fabric menders, except garment",800,13.42,27910,12.24
Locksmiths and safe repairers,17400,19.15,39820,18.25
Manufactured building and mobile home installers,3510,15.01,31210,13.91
Riggers,17330,21.24,44180,20.32
Signal and track switch repairers,7960,26.83,55810,26.75
"Helpers--installation, maintenance, and repair workers",127820,13.04,27120,11.78
"Installation, maintenance, and repair workers, all other",136010,19.09,39700,17.66
Production occupations,8765180,16.79,34930,15.03
Supervisors of production workers,580620,27.96,58150,26.29
First-line supervisors of production and operating workers,580620,27.96,58150,26.29
Assemblers and fabricators,1757500,15.1,31400,13.93
"Aircraft structure, surfaces, rigging, and systems assemblers",42810,23.84,49580,22.76
"Electrical, electronics, and electromechanical assemblers",267950,15.3,31830,14.31
"Coil winders, tapers, and finishers",14590,15.54,32320,15.09
Electrical and electronic equipment assemblers,203880,15.07,31350,14.01
Electromechanical equipment assemblers,49480,16.17,33630,15.29
Engine and other machine assemblers,39620,18.78,39060,17.93
Structural metal fabricators and fitters,77860,18.19,37840,17.49
Miscellaneous assemblers and fabricators,1329260,14.48,30120,13.33
Fiberglass laminators and fabricators,18800,14.24,29620,13.68
Team assemblers,1058100,14.71,30590,13.54
Timing device assemblers and adjusters,1460,15.1,31410,13.04
"Assemblers and fabricators, all other",250900,13.55,28190,12.37
Food processing workers,753020,12.75,26530,11.86
Bakers,165270,12.08,25120,11.13
"Butchers and other meat, poultry, and fish processing workers",381890,12.69,26400,11.96
Butchers and meat cutters,138900,14.4,29950,13.63
"Meat, poultry, and fish cutters and trimmers",160920,11.47,23850,11.12
Slaughterers and meat packers,82070,12.21,25400,12.01
Miscellaneous food processing workers,205860,13.41,27890,12.42
"Food and tobacco roasting, baking, and drying machine operators and tenders",18750,14.14,29410,13.37
Food batchmakers,109660,13.73,28560,12.77
Food cooking machine operators and tenders,34040,13.66,28410,12.86
"Food processing workers, all other",43400,12.07,25110,11.27
Metal workers and plastic workers,1887930,18.04,37510,17.12
Computer control programmers and operators,164270,18.78,39070,17.87
"Computer-controlled machine tool operators, metal and plastic",139930,17.94,37310,17.26
"Computer numerically controlled machine tool programmers, metal and plastic",24340,23.64,49170,22.36
"Forming machine setters, operators, and tenders, metal and plastic",128250,16.68,34690,16.14
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",73140,15.94,33160,15.51
"Forging machine setters, operators, and tenders, metal and plastic",22570,16.89,35120,16.14
"Rolling machine setters, operators, and tenders, metal and plastic",32550,18.19,37830,17.8
"Machine tool cutting setters, operators, and tenders, metal and plastic",344000,16.03,33350,15.26
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",187640,15.15,31520,14.4
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",19880,17.59,36580,16.48
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",70910,16.27,33850,15.49
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",41730,17.73,36890,17.18
"Milling and planing machine setters, operators, and tenders, metal and plastic",23850,19.72,37400,19.03
Machinists,391130,18.8,41020,18.54
"Metal furnace operators, tenders, pourers, and casters",32250,19.59,39110,19.49
Metal-refining furnace operators and tenders,21930,17.13,35630,16.15
"Pourers and casters, metal",10320,21.9,45560,21.31
"Model makers and patternmakers, metal and plastic",10360,23.04,47920,22.15
"Model makers, metal and plastic",6200,20.21,42030,20.1
"Patternmakers, metal and plastic",4160,14.63,30440,13.76
"Molders and molding machine setters, operators, and tenders, metal and plastic",137910,15.07,31350,14.59
Foundry mold and coremakers,13100,14.59,30340,13.68
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",124810,17.02,35400,16.5
"Multiple machine tool setters, operators, and tenders, metal and plastic",93100,23.74,49390,23.06
Tool and die makers,78700,18.6,38700,18.6
"Welding, soldering, and brazing workers",403100,18.8,39110,18.8
"Welders, cutters, solderers, and brazers",352250,17.21,35800,17.21
"Welding, soldering, and brazing machine setters, operators, and tenders",50860,17.1,35560,17.1
Miscellaneous metal workers and plastic workers,104850,17.27,35930,17.27
"Heat treating equipment setters, operators, and tenders, metal and plastic",21500,21.03,43740,21.03
"Layout workers, metal and plastic",13420,15.52,32280,15.52
"Plating and coating machine setters, operators, and tenders, metal and plastic",36120,17.34,36060,17.34
"Tool grinders, filers, and sharpeners",11540,16.99,35340,15.63
"Metal workers and plastic workers, all other",22270,17.19,35750,16.43
Printing workers,256620,18.82,39150,18
Printing workers,256620,17.48,36350,16.79
Prepress technicians and workers,38000,15.06,31330,14.18
Printing press operators,166620,11.73,24390,10.67
Print binding and finishing workers,52000,10.46,21750,9.66
"Textile, apparel, and furnishings workers",573650,10.03,20870,9.55
Laundry and dry-cleaning workers,197650,11.25,23400,10.33
"Pressers, textile, garment, and related materials",51520,12.5,26000,11.68
Sewing machine operators,143370,12.85,26730,12.03
Shoe and leather workers,10760,11.97,24890,11.12
Shoe and leather workers and repairers,6460,13.64,28360,11.97
Shoe machine operators and tenders,4300,11.89,24720,11.35
"Tailors, dressmakers, and sewers",27100,14.1,29330,12.3
"Sewers, hand",5700,12.69,26390,12.41
"Tailors, dressmakers, and custom sewers",21400,12.36,25710,11.78
"Textile machine setters, operators, and tenders",75060,12.58,26180,12
Textile bleaching and dyeing machine operators and tenders,11680,13.16,27370,12.91
"Textile cutting machine setters, operators, and tenders",15160,12.5,25990,12.43
"Textile knitting and weaving machine setters, operators, and tenders",22200,15.74,32740,14.52
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",26020,15.64,32540,15.27
"Miscellaneous textile, apparel, and furnishings workers",68180,21.97,45700,19.29
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",18890,15.47,32170,14.78
Fabric and apparel patternmakers,6060,13.79,28680,12.52
Upholsterers,28790,14.59,30340,13.76
"Textile, apparel, and furnishings workers, all other",14440,15.84,32960,14.96
Woodworkers,215240,14.49,30140,13.69
Cabinetmakers and bench carpenters,82770,17.5,36390,15.86
Furniture finishers,14470,16.3,33910,14.63
"Model makers and patternmakers, wood",2110,19.2,39940,17.89
"Model makers, wood",1240,13.57,28230,13.01
"Patternmakers, wood",870,13.47,28010,12.79
"Woodworking machine setters, operators, and tenders",108750,13.64,28370,13.13
"Sawing machine setters, operators, and tenders, wood",42210,26.77,55680,26.21
"Woodworking machine setters, operators, and tenders, except sawing",66540,33.89,70500,33.92
"Woodworkers, all other",7150,37.69,78400,37.69
Plant and system operators,310600,36.82,76580,36.82
"Power plant operators, distributors, and dispatchers",58860,32.32,67230,32.74
Nuclear power reactor operators,7790,27.01,56190,26.26
Power distributors and dispatchers,11260,21.67,45070,20.77
Power plant operators,39810,28.04,58320,28.19
Stationary engineers and boiler operators,35960,26.29,54690,26.31
Water and wastewater treatment plant and system operators,110230,30.18,62770,30.62
Miscellaneous plant and system operators,105550,29.5,61350,29.77
Chemical plant and system operators,38890,26.1,54300,26.19
Gas plant operators,13890,15.72,32690,14.32
"Petroleum pump system operators, refinery operators, and gaugers",41390,21.75,45240,21.01
"Plant and system operators, all other",11390,23.3,48470,22.95
"Chemical processing machine setters, operators, and tenders",2430000,19.55,40660,18.43
Chemical equipment operators and tenders,102950,16.45,34220,15.59
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",60450,16.36,34040,15.52
"Crushing, grinding, polishing, mixing, and blending workers",42510,14.11,29360,13.38
"Crushing, grinding, and polishing machine setters, operators, and tenders",179200,17.1,35560,16.32
"Grinding and polishing workers, hand",30580,16,33280,16.45
"Mixing and blending machine setters, operators, and tenders",31240,15.94,33160,16.36
Cutting workers,73240,15.19,31580,14.66
"Cutters and trimmers, hand",13800,13.24,27540,12.19
"Cutting and slicing machine setters, operators, and tenders",59450,15.64,32520,15.29
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",69740,16.02,33320,15.27
"Furnace, kiln, oven, drier, and kettle operators and tenders",19840,17.94,37320,17.05
"Inspectors, testers, sorters, samplers, and weighers",471750,18.2,37860,16.8
Jewelers and precious stone and metal workers,22890,19.24,40010,17.08
"Medical, dental, and ophthalmic laboratory technicians",78870,17.36,36120,16.01
Dental laboratory technicians,36790,19.13,39780,17.52
Medical appliance technicians,13320,18.38,38220,17.09
Ophthalmic laboratory technicians,28760,14.64,30450,13.96
Packaging and filling machine operators and tenders,372210,13.82,28740,12.65
Painting workers,149780,17.15,35680,15.94
"Coating, painting, and spraying machine setters, operators, and tenders",87070,15.52,32290,14.88
"Painters, transportation equipment",46770,21.12,43930,19.05
"Painting, coating, and decorating workers",15930,14.4,29960,13.64
Semiconductor processors,22750,17.34,36070,16.32
Photographic process workers and processing machine operators,37130,13.18,27410,11.46
